A_lat,A_long,A_locality,B_lat,B_long,B_locality,month,weekday,hour,car_distance,pt_distance,car_time,pt_time
45.508716121402344,9.223203923846278,Precotto,45.4511335067903,9.142336309621697,Bande Nere,January,Monday,5,12783,11916,1596,4872
45.51256409031471,9.258185796890528,Adriano,45.47767919968117,9.200628071386205,Centrale,April,Sunday,22,8195,8181,930,2506
45.511096072306394,9.16306452510698,Bovisasca,45.4521880469384,9.174473778463254,Zona Navigli,April,Thursday,18,10415,9852,1754,3177
45.468803643795404,9.164012839935141,Pagano,45.467468169206015,9.194296369340284,Duomo,February,Thursday,16,3012,3433,901,1246
45.498074862358486,9.246463810685375,Cimiano,45.45320163930472,9.196623955095083,Vigentina,April,Tuesday,13,18226,9297,1803,3473
45.46896889202736,9.22041608091535,Cascina Acquabella,45.49655203619174,9.143687979860248,Boldinasco,June,Tuesday,22,7750,8934,1055,3762
45.49528712893519,9.228494598168021,Turro,45.47029569876108,9.131961577400306,Selinunte,July,Friday,13,10559,10610,1773,3701
45.484003096557814,9.135452578721393,QT8,45.469855558828066,9.23384715679585,Cascina Acquabella,April,Friday,10,10605,12230,1822,3762
45.49372003931657,9.229139239680718,Turro,45.505077994602885,9.2298597378424,Gorla,April,Sunday,1,2441,1877,358,1931
45.43507768225817,9.195662021428411,Morivione,45.48120521770887,9.162492575038273,Portello,July,Saturday,16,7157,11908,1324,3234
45.509020318614134,9.129006911923204,Musocco,45.45864272996544,9.117065553596866,Forze Armate,October,Friday,10,15256,14613,984,3891
45.51330024455036,9.158584187754597,Bovisasca,45.43272249200859,9.211799224963917,Scalo Romana,November,Monday,5,13789,15826,1729,4974
45.45475296930293,9.133007710094445,Arzaga,45.498971351107784,9.198022708835808,Maciachini - Maggiolina,December,Friday,14,9727,9443,1409,2671
45.51442553037582,9.178022410978055,Parco Nord,45.45627519494807,9.17986992953788,Porta Ticinese,January,Friday,10,8858,9030,1837,2810
45.427975043029214,9.256233491859929,Triulzo Superiore,45.45748824409521,9.140010849639616,Arzaga,December,Monday,19,25540,13936,1536,4284
45.428081091741426,9.170645052421943,Conca Fallata,45.43172019150049,9.153094154531242,Quartiere Sant’Ambrogio,June,Sunday,18,4041,2754,456,2602
45.51232582807248,9.187755037368964,Niguarda,45.48661433603454,9.189927169394162,Isola,March,Saturday,20,3660,4853,681,2260
45.43593252312907,9.164931189466056,Moncucco,45.47874873028684,9.245677120729573,Lambrate,May,Sunday,18,28625,11812,1273,3790
45.51816407161381,9.145112394515303,Quarto Oggiaro,45.44623165213663,9.252699312760198,Taliedo,March,Tuesday,21,25942,16366,1374,6197
45.49745309171474,9.154175614262334,Villapizzone,45.50007679174754,9.229850695521321,Turro,December,Friday,15,7871,11603,1581,3998
